Fecha	Hora	RECORD	batt_volt_Min	logger_temp	SWin_Avg	SWout_Avg	LWin_Avg	LWout_Avg	cnr4_T_C_Avg	cnr4_T_K_Avg	LWin_corr_Avg	LWout_corr_Avg	Ta_Avg	Rh_Avg	WiSp	WiDi
6/1/2016	0:00:00	50084	12.85	NAN	NAN	2.63088	NAN	-12.32799	-0.7516853	272.3983	NAN	299.8491	-0.05345713	62.41208	1.609	103.3
6/1/2016	0:30:00	50085	12.82	NAN	NAN	2.01763	NAN	-11.88805	-1.13622	272.0138	NAN	298.5299	-0.6597546	65.85472	2.315	102.5
6/1/2016	1:00:00	50086	12.8	NAN	NAN	2.786164	NAN	-12.34685	-1.279664	271.8703	NAN	297.4168	-0.5703353	64.14788	1.734	101.1
6/1/2016	1:30:00	50087	12.79	NAN	NAN	2.471439	NAN	-13.14452	-1.291428	271.8586	NAN	296.5654	-1.037171	63.64153	2.011	102.4
6/1/2016	2:00:00	50088	12.78	NAN	NAN	2.321396	NAN	-13.34109	-1.382484	271.7675	NAN	295.9544	-0.9445943	63.00742	2.079	102.3
6/1/2016	2:30:00	50089	12.77	NAN	NAN	2.276262	NAN	-12.5947	-1.683146	271.4668	NAN	295.3341	-1.264391	63.52989	2.249	105.5
6/1/2016	3:00:00	50090	12.76	NAN	NAN	2.151836	NAN	-13.47214	-1.690462	271.4595	NAN	294.424	-1.174812	62.31144	2.409	105.5
6/1/2016	3:30:00	50091	12.75	NAN	NAN	2.545851	NAN	-13.86812	-1.836638	271.3134	NAN	293.3649	-1.52885	61.06133	2.405	102.1
6/1/2016	4:00:00	50092	12.74	NAN	NAN	2.621487	NAN	-15.42646	-1.695416	271.4546	NAN	292.4467	-1.334897	56.65233	2.114	102.6
6/1/2016	4:30:00	50093	12.72	NAN	NAN	2.491114	NAN	-15.31635	-1.856666	271.2933	NAN	291.8263	-1.120598	55.88554	1.64	98.1
6/1/2016	5:00:00	50094	12.71	NAN	NAN	2.555073	NAN	-14.85487	-2.14951	271.0005	NAN	290.9634	-1.666569	59.10664	1.955	100.7
6/1/2016	5:30:00	50095	12.7	NAN	NAN	2.219675	NAN	-14.93291	-2.304013	270.846	NAN	290.1887	-2.246787	61.21117	2.477	103.6
6/1/2016	6:00:00	50096	12.69	NAN	NAN	2.600406	NAN	-15.6397	-2.19826	270.9517	NAN	289.9594	-2.04831	59.05489	2.491	109.4
6/1/2016	6:30:00	50097	12.69	NAN	NAN	5.317958	NAN	-17.95089	-1.724563	271.4254	NAN	289.7901	-0.9614802	50.49013	1.593	105.4
6/1/2016	7:00:00	50098	12.7	NAN	NAN	11.04105	NAN	-17.81125	-1.6911	271.4589	NAN	290.082	-1.547999	53.56183	2.041	103.5
6/1/2016	7:30:00	50099	12.76	NAN	NAN	25.90034	NAN	-19.33019	-1.101497	272.0485	NAN	291.2482	-0.3877608	47.74087	1.505	110
6/1/2016	8:00:00	50100	13.8	NAN	NAN	74.96989	NAN	-23.53073	1.427551	274.5775	NAN	298.7717	1.338736	43.07856	1.744	94.6
6/1/2016	8:30:00	50101	14.96	NAN	NAN	94.44128	NAN	-21.14025	1.992755	275.1427	NAN	303.8171	1.256917	49.14721	4.246	86.5
6/1/2016	9:00:00	50102	15.08	NAN	NAN	160.3638	NAN	-24.11147	4.239374	277.3894	NAN	311.5944	2.469602	47.70112	3.725	78.11
6/1/2016	9:30:00	50103	14.45	NAN	NAN	172.5112	NAN	-22.80061	4.89711	278.0471	NAN	316.0895	2.772004	57.26979	5.493	100.4
6/1/2016	10:00:00	50104	14.42	NAN	NAN	188.5412	NAN	-23.95677	5.444256	278.5942	NAN	317.6082	2.760023	63.69505	5.377	83.4
6/1/2016	10:30:00	50105	14.68	NAN	NAN	186.758	NAN	-25.59341	5.927518	279.0775	NAN	318.3469	3.025156	63.71103	5.526	76.8
6/1/2016	11:00:00	50106	14.41	NAN	NAN	182.9972	NAN	-27.23487	6.455153	279.6051	NAN	319.3145	3.220212	61.80987	4.961	96.6
6/1/2016	11:30:00	50107	14.35	NAN	NAN	200.5563	NAN	-33.27194	7.741325	280.8913	NAN	319.7022	3.613468	57.18649	3.896	91
6/1/2016	12:00:00	50108	14.56	NAN	NAN	189.7128	NAN	-36.15318	8.427989	281.578	NAN	320.2805	3.900728	53.77296	3.882	88.7
6/1/2016	12:30:00	50109	14.55	NAN	NAN	182.2488	NAN	-34.71765	8.241434	281.3914	NAN	320.7733	3.889947	53.74591	4.205	95.3
6/1/2016	13:00:00	50110	14.45	NAN	NAN	181.1917	NAN	-34.78555	8.252189	281.4022	NAN	320.7694	3.964531	53.22153	3.976	95.8
6/1/2016	13:30:00	50111	14.67	NAN	NAN	120.4347	NAN	-26.36726	6.447603	279.5976	NAN	320.148	3.706719	56.71816	4.21	103
6/1/2016	14:00:00	50112	14.62	NAN	NAN	105.2765	NAN	-23.46254	5.85097	279.0009	NAN	320.1103	3.635689	59.05952	4.17	106
6/1/2016	14:30:00	50113	14.37	NAN	NAN	97.8394	NAN	-22.07705	5.492647	278.6426	NAN	319.7263	3.62524	60.62484	3.626	103.6
6/1/2016	15:00:00	50114	14.42	NAN	NAN	57.42757	NAN	-18.89557	4.753762	277.9037	NAN	319.2964	3.499743	62.10423	3.227	98.6
6/1/2016	15:30:00	50115	14.38	NAN	NAN	45.6209	NAN	-15.50729	3.976818	277.1268	NAN	318.9176	3.190151	65.37978	3.433	94.8
6/1/2016	16:00:00	50116	14.23	NAN	NAN	42.00102	NAN	-16.22754	4.124109	277.2741	NAN	318.9083	3.635431	61.17543	4.155	100.1
6/1/2016	16:30:00	50117	14.17	NAN	NAN	36.63665	NAN	-17.4826	4.336777	277.4868	NAN	318.6832	3.727029	59.74116	3.451	99.9
6/1/2016	17:00:00	50118	14.05	NAN	NAN	22.67855	NAN	-15.33961	3.593135	276.7431	NAN	317.2373	3.5237	61.03662	3.281	78.87
6/1/2016	17:30:00	50119	13.99	NAN	NAN	19.95603	NAN	-14.90351	3.611433	276.7614	NAN	317.7629	3.852606	58.42482	2.052	90.5
6/1/2016	18:00:00	50120	13.76	NAN	NAN	3.223031	NAN	-13.24354	3.330055	276.48	NAN	318.0733	3.360776	65.20748	1.55	84.3
6/1/2016	18:30:00	50121	13.62	NAN	NAN	1.026427	NAN	-10.92072	1.807522	274.9575	NAN	313.1668	2.558309	71.21521	0.848	317.1
6/1/2016	19:00:00	50122	13.52	NAN	NAN	2.330805	NAN	-6.687413	0.346598	273.4966	NAN	310.5551	1.145847	77.25601	1.552	96.6
6/1/2016	19:30:00	50123	13.43	NAN	NAN	3.095511	NAN	-7.437018	0.2653907	273.4154	NAN	309.4284	1.328152	73.01693	0.866	103.8
6/1/2016	20:00:00	50124	13.36	NAN	NAN	2.992335	NAN	-9.109844	0.3141502	273.4641	NAN	307.9818	1.283932	72.16389	1.416	100.8
6/1/2016	20:30:00	50125	13.28	NAN	NAN	2.564497	NAN	-9.967532	0.3807124	273.5307	NAN	307.4332	1.050163	72.24798	1.765	102.8
6/1/2016	21:00:00	50126	13.22	NAN	NAN	1.925508	NAN	-8.88535	-0.2258614	272.9241	NAN	305.7125	0.7145912	74.60319	0.667	80.2
6/1/2016	21:30:00	50127	13.15	NAN	NAN	3.151053	NAN	-7.757594	-0.8132134	272.3368	NAN	304.1376	0.1264002	78.62065	1.344	97.6
6/1/2016	22:00:00	50128	13.09	NAN	NAN	3.283981	NAN	-9.016378	-0.7583389	272.3916	NAN	303.1302	0.1068189	75.65459	1.388	98.6
6/1/2016	22:30:00	50129	13.03	NAN	NAN	3.015951	NAN	-10.12227	-0.7375083	272.4125	NAN	302.1196	0.07790315	73.96627	1.538	96.4
6/1/2016	23:00:00	50130	12.98	NAN	NAN	2.473778	NAN	-10.87929	-0.7539025	272.3961	NAN	301.2874	-0.4466858	76.25002	2.186	101.1
6/1/2016	23:30:00	50131	12.93	NAN	NAN	2.276245	NAN	-11.18159	-0.752633	272.3973	NAN	300.9909	-0.4380695	75.31145	2.246	101.5
6/2/2016	0:00:00	50132	12.89	NAN	NAN	2.681255	NAN	-12.63458	-0.541599	272.6084	NAN	300.507	0.008081838	72.72686	1.641	97.7
6/2/2016	0:30:00	50133	12.85	NAN	NAN	2.870334	NAN	-12.52063	-0.7060842	272.4439	NAN	299.8654	0.2683134	71.81407	1.442	105.2
6/2/2016	1:00:00	50134	12.82	NAN	NAN	2.578787	NAN	-13.30975	-0.6432207	272.5068	NAN	299.3648	0.05437054	72.71444	1.377	109
6/2/2016	1:30:00	50135	12.8	NAN	NAN	2.776405	NAN	-13.46074	-0.7981115	272.3519	NAN	298.5034	0.3761315	70.01353	1.296	104.6
6/2/2016	2:00:00	50136	12.78	NAN	NAN	2.634901	NAN	-14.39231	-0.6314191	272.5186	NAN	298.3365	0.2991723	69.31055	1.693	110.5
6/2/2016	2:30:00	50137	12.77	NAN	NAN	2.033509	NAN	-14.43504	-0.7342083	272.4158	NAN	297.8227	-0.6930714	70.90008	2.341	103.4
6/2/2016	3:00:00	50138	12.77	NAN	NAN	2.149396	NAN	-13.90516	-0.9856878	272.1643	NAN	297.2004	-0.7353764	71.58288	2.326	101.3
6/2/2016	3:30:00	50139	12.76	NAN	NAN	2.340914	NAN	-14.38376	-0.9722043	272.1778	NAN	296.7835	-0.4891799	68.75677	2.339	101.6
6/2/2016	4:00:00	50140	12.75	NAN	NAN	2.395808	NAN	-14.98487	-0.9561579	272.1938	NAN	296.2558	-0.4157846	66.95695	1.898	101.8
6/2/2016	4:30:00	50141	12.74	NAN	NAN	2.482419	NAN	-16.019	-0.8506483	272.2993	NAN	295.7045	-0.4466028	66.75472	2.155	102.5
6/2/2016	5:00:00	50142	12.73	NAN	NAN	2.232421	NAN	-15.78877	-1.026598	272.1234	NAN	295.1304	-0.8103862	68.34911	1.851	100.6
6/2/2016	5:30:00	50143	12.72	NAN	NAN	2.485333	NAN	-15.21858	-1.288708	271.8613	NAN	294.5038	-0.7357572	67.77982	1.74	100.8
6/2/2016	6:00:00	50144	12.7	NAN	NAN	1.79008	NAN	-14.22858	-1.815003	271.335	NAN	293.1042	-1.407818	70.9942	1.301	86.9
6/2/2016	6:30:00	50145	12.69	NAN	NAN	4.301455	NAN	-11.01442	-2.685272	270.4647	NAN	292.3927	-1.666801	74.37755	1.441	93.6
6/2/2016	7:00:00	50146	12.7	NAN	NAN	11.10328	NAN	-12.65311	-2.23812	270.9119	NAN	292.7666	-1.921632	74.06458	2.013	101
6/2/2016	7:30:00	50147	12.76	NAN	NAN	24.6581	NAN	-13.57645	-1.847328	271.3026	NAN	293.6084	-1.333231	73.87842	1.251	129.4
6/2/2016	8:00:00	50148	14.54	NAN	NAN	110.6351	NAN	-17.46279	0.8592789	274.0093	NAN	302.1924	0.04813862	75.4996	1.026	102.1
6/2/2016	8:30:00	50149	14.85	NAN	NAN	141.9159	NAN	-20.08216	3.123408	276.2734	NAN	310.243	0.6639476	75.82694	1.803	107.2
6/2/2016	9:00:00	50150	14.79	NAN	NAN	168.9593	NAN	-22.99017	4.756088	277.9061	NAN	315.2136	2.35355	65.49678	3.755	77.09
6/2/2016	9:30:00	50151	15.02	NAN	NAN	182.0409	NAN	-27.90827	6.136877	279.2869	NAN	317.074	2.988981	61.98818	2.925	74.32
6/2/2016	10:00:00	50152	14.81	NAN	NAN	187.8513	NAN	-30.17862	6.957692	280.1077	NAN	318.8685	3.234271	61.27645	3.616	80.9
6/2/2016	10:30:00	50153	14.68	NAN	NAN	193.6832	NAN	-29.14037	6.873616	280.0236	NAN	319.4875	3.198626	61.84901	4.427	84.2
6/2/2016	11:00:00	50154	14.56	NAN	NAN	191.9489	NAN	-29.97346	7.049334	280.1993	NAN	319.5317	3.350638	58.44566	4.444	83.6
6/2/2016	11:30:00	50155	14.58	NAN	NAN	189.7947	NAN	-29.94688	7.04664	280.1966	NAN	319.5443	3.341624	59.28099	4.307	100.4
6/2/2016	12:00:00	50156	14.56	NAN	NAN	160.125	NAN	-30.55926	7.402164	280.5522	NAN	320.7311	3.485961	58.23416	4.078	104.7
6/2/2016	12:30:00	50157	14.52	NAN	NAN	131.4474	NAN	-23.41702	5.755366	278.9054	NAN	319.6954	3.233166	61.49726	4.168	104.9
6/2/2016	13:00:00	50158	14.67	NAN	NAN	140.0174	NAN	-26.81392	6.501106	279.6511	NAN	319.9775	3.707395	58.93098	3.708	92.3
6/2/2016	13:30:00	50159	14.56	NAN	NAN	104.157	NAN	-26.63754	6.555018	279.705	NAN	320.4204	3.928216	55.31519	3.254	89
6/2/2016	14:00:00	50160	14.76	NAN	NAN	105.4901	NAN	-22.84266	5.755092	278.9051	NAN	320.2498	3.91467	56.68635	3.72	102.4
6/2/2016	14:30:00	50161	14.73	NAN	NAN	72.80573	NAN	-21.34314	5.42333	278.5733	NAN	320.1206	3.964904	56.5794	3.565	102.9
6/2/2016	15:00:00	50162	14.73	NAN	NAN	70.39716	NAN	-20.88251	5.267608	278.4176	NAN	319.8174	3.967963	56.24748	3.669	102.4
6/2/2016	15:30:00	50163	14.43	NAN	NAN	50.63847	NAN	-17.8696	4.638668	277.7886	NAN	319.7617	3.718103	60.74868	3.989	94.4
