Fecha	Hora	RECORD	batt_volt_Min	logger_temp	SWin_Avg	Ta_Avg	Rh_Avg	WiSp	WiDi	pressure	precip_Tot
6/1/2016	0:00:00	53446	12.73	-1.288	-0.2714989	1.4844	66.59111	0.894	122.7	747.9	0
6/1/2016	0:30:00	53447	12.7	-1.652	-0.0860877	0.7428715	68.57442	1.509	86.1	747.3	0
6/1/2016	1:00:00	53448	12.68	-2.013	-0.1324511	0.4913826	67.66154	1	87.8	747	0
6/1/2016	1:30:00	53449	12.66	-2.185	-0.1158948	0.6884294	62.95418	1.385	94.9	747	0
6/1/2016	2:00:00	53450	12.65	-2.4	-0.0165564	0.2157617	65.9238	1.447	94.5	746.7	0
6/1/2016	2:30:00	53451	12.64	-2.463	0	-0.008147642	66.0999	2.219	93.7	746.4	0
6/1/2016	3:00:00	53452	12.63	-2.655	-0.3211942	0.1801717	65.02814	1.232	111.7	746.4	0
6/1/2016	3:30:00	53453	12.62	-2.827	-0.1523227	0.1323172	63.86396	1.361	98.4	745.7	0
6/1/2016	4:00:00	53454	12.61	-2.935	-0.13248	0.1699972	60.75612	1.355	95.2	745.7	0
6/1/2016	4:30:00	53455	12.6	-3.15	-0.4372179	0.2595104	63.01985	0.677	157.9	746.4	0
6/1/2016	5:00:00	53456	12.59	-3.17	-0.1192468	-0.250933	56.67393	1.933	94.1	746.4	0
6/1/2016	5:30:00	53457	12.58	-3.278	-0.01656205	-0.3619455	57.83586	1.85	78.06	746.7	0
6/1/2016	6:00:00	53458	12.56	-3.385	-0.1026847	0.09898328	55.48573	1.241	98.9	746.7	0
6/1/2016	6:30:00	53459	12.55	-3.493	1.669455	0.3664975	55.24359	0.637	160.9	747	0
6/1/2016	7:00:00	53460	12.55	-3.642	19.08606	0.3613771	50.9374	0.439	100.5	747	0
6/1/2016	7:30:00	53461	12.55	-3.47	31.60357	0.6277192	49.31955	0.73	115.4	747.7	0
6/1/2016	8:00:00	53462	12.67	-1.821	266.3843	2.607212	38.91836	0.816	153.3	748.6	0
6/1/2016	8:30:00	53463	14.04	0.223	235.0055	3.362465	37.33683	3.083	93.5	748.6	0
6/1/2016	9:00:00	53464	14.1	2.119	460.3935	4.18534	35.41521	5.245	83.8	748.8	0
6/1/2016	9:30:00	53465	14.09	3.87	644.4121	4.535668	40.47317	6.538	75.32	749.1	0
6/1/2016	10:00:00	53466	14.08	5.097	768.1783	4.748724	42.02481	6.979	72.23	749.4	0
6/1/2016	10:30:00	53467	14.05	6.177	864.5676	5.013494	47.2517	6.229	64.18	748.8	0
6/1/2016	11:00:00	53468	14.04	6.308	902.212	4.125412	59.28007	9.1	63.15	749.3	0
6/1/2016	11:30:00	53469	14.04	6.635	987.4648	4.430435	56.70287	7.731	60.41	749.3	0
6/1/2016	12:00:00	53470	14.02	7.333	1035.786	5.12887	51.53205	7.027	57.12	748.3	0
6/1/2016	12:30:00	53471	14.01	7.751	1040.979	5.314935	49.0543	8.1	61.4	747.9	0
6/1/2016	13:00:00	53472	14	8.13	1037.433	5.770813	47.62759	7.024	65.86	747.6	0
6/1/2016	13:30:00	53473	13.99	8.15	663.4154	5.57228	47.08582	7.159	63.96	747.3	0
6/1/2016	14:00:00	53474	14.01	8.26	629.0766	5.670142	49.1737	7.119	68.12	746.6	0
6/1/2016	14:30:00	53475	14.01	8.15	478.9948	5.722449	49.82022	6.303	73.71	746.1	0
6/1/2016	15:00:00	53476	14.02	7.706	266.7207	5.499296	51.21722	6.105	72.8	745.5	0
6/1/2016	15:30:00	53477	14.05	7.137	215.1213	5.320401	53.51041	5.458	74.92	745.3	0
6/1/2016	16:00:00	53478	14.07	6.744	155.3951	5.303951	53.76507	5.724	75.84	745.3	0
6/1/2016	16:30:00	53479	14.08	6.068	117.735	4.824036	55.52883	5.79	69.68	745.7	0
6/1/2016	17:00:00	53480	13.59	5.722	124.7321	4.763651	57.09167	5.17	66.34	745.8	0
6/1/2016	17:30:00	53481	13.6	5.074	73.1419	4.520823	58.14819	3.923	68.06	746.1	0
6/1/2016	18:00:00	53482	13.4	4.902	24.45808	4.693281	58.03115	3.085	63.37	747.1	0
6/1/2016	18:30:00	53483	13.31	4.127	0.8833547	3.849169	65.41428	2.186	71.94	747.4	0
6/1/2016	19:00:00	53484	13.23	2.736	-0.195199	2.422011	76.89544	1.466	51.17	747.5	0
6/1/2016	19:30:00	53485	13.17	1.735	0	2.327192	75.19964	1.165	80.6	747.8	0
6/1/2016	20:00:00	53486	13.11	0.969	-0.09598933	2.264929	73.38474	0.903	89.5	748.2	0
6/1/2016	20:30:00	53487	13.05	0.648	0	1.992887	73.95346	2.308	85.5	748.6	0
6/1/2016	21:00:00	53488	13	0.266	-0.1026146	1.777731	74.43837	1.469	103.6	748.7	0
6/1/2016	21:30:00	53489	12.95	-0.33	-0.1754379	1.085368	79.57802	1.224	87.9	748.9	0
6/1/2016	22:00:00	53490	12.9	-0.777	0	1.03254	76.62906	1.235	88.1	748.9	0
6/1/2016	22:30:00	53491	12.86	-1.139	0	0.8656648	77.45043	1.343	83.2	748.6	0
6/1/2016	23:00:00	53492	12.82	-1.331	0	0.910104	77.23951	1.592	85.9	748.3	0
6/1/2016	23:30:00	53493	12.78	-1.374	0	1.012206	76.13102	1.834	85.3	748.3	0
6/2/2016	0:00:00	53494	12.75	-1.543	0	1.114126	74.77094	1.285	82.5	748.3	0
6/2/2016	0:30:00	53495	12.72	-1.692	-0.4635783	1.362289	74.03841	0.767	154	748.1	0
6/2/2016	1:00:00	53496	12.69	-1.927	-0.1158948	1.348281	73.53586	0.691	96.5	747.6	0
6/2/2016	1:30:00	53497	12.67	-2.162	-0.5960305	1.095396	76.08952	0.529	184.8	747.3	0
6/2/2016	2:00:00	53498	12.65	-2.291	-0.1026497	1.055239	73.2878	1.048	82.2	747	0
6/2/2016	2:30:00	53499	12.64	-2.314	0	1.044712	72.39914	0.897	93.1	746.6	0
6/2/2016	3:00:00	53500	12.63	-2.099	0	0.9004322	68.51473	2.643	84.9	746	0
6/2/2016	3:30:00	53501	12.62	-1.864	0	0.7456181	66.71232	3.436	86.6	745.6	0
6/2/2016	4:00:00	53502	12.61	-1.735	-0.06291433	0.8690267	64.8465	2.783	96.7	746	0
6/2/2016	4:30:00	53503	12.6	-1.692	-0.1158948	0.8544515	65.08368	3.015	88.2	746	0
6/2/2016	5:00:00	53504	12.59	-1.692	-0.00331128	0.7437189	65.10318	2.854	85.3	746.3	0
6/2/2016	5:30:00	53505	12.58	-1.844	-0.009933841	0.5048391	67.08046	2.091	94.9	746.6	0
6/2/2016	6:00:00	53506	12.57	-2.079	-0.1324512	0.095413	69.39619	1.607	100.7	747	0
6/2/2016	6:30:00	53507	12.56	-2.526	1.516575	-0.3729046	75.61995	1.04	117.9	747.3	0
6/2/2016	7:00:00	53508	12.55	-2.72	15.93746	-0.3374014	73.64911	1.424	84.1	747.7	0
6/2/2016	7:30:00	53509	12.55	-2.869	27.05846	-0.1679369	77.99415	0.437	132.1	748.3	0
6/2/2016	8:00:00	53510	12.62	-1.672	287.9442	0.8947118	79.58765	0.848	153.7	749.3	0
6/2/2016	8:30:00	53511	14.08	0.501	433.7665	1.552644	74.92411	1.882	70.15	749.5	0
6/2/2016	9:00:00	53512	14.05	2.438	555.8141	3.047232	63.78339	2.852	74.12	749.5	0
6/2/2016	9:30:00	53513	14.04	4.256	685.2406	4.176269	57.38913	3.127	56.48	750.1	0
6/2/2016	10:00:00	53514	14.02	5.722	795.5992	4.345986	59.65461	3.753	55.6	750	0
6/2/2016	10:30:00	53515	13.99	6.787	905.0735	4.571745	58.91905	4.44	51.5	749.9	0
6/2/2016	11:00:00	53516	13.99	7.245	971.368	4.446634	57.13107	6.487	52.94	749.9	0
6/2/2016	11:30:00	53517	13.99	7.487	1003.474	4.697189	52.98837	7.341	58.45	748.9	0
6/2/2016	12:00:00	53518	13.99	7.794	927.461	4.882386	51.83238	6.594	58.32	749.2	0
6/2/2016	12:30:00	53519	13.99	7.552	655.9601	4.584893	53.31404	7.28	63.52	748.8	0
6/2/2016	13:00:00	53520	14.01	7.444	782.1016	4.789752	55.19011	6.906	58.21	748	0
6/2/2016	13:30:00	53521	14	7.993	1043.989	5.324103	51.38166	8.13	56.94	746.9	0
6/2/2016	14:00:00	53522	13.99	8.33	742.9236	5.560558	50.55188	7.898	69.67	747.3	0
6/2/2016	14:30:00	53523	14	7.993	362.9601	5.305917	52.18705	6.956	67.74	746.3	0
6/2/2016	15:00:00	53524	14.02	7.598	377.3357	5.043722	51.85663	6.716	62.92	746.3	0
6/2/2016	15:30:00	53525	14.04	7.094	234.4594	4.900177	55.37274	6.203	60.87	745.7	0
6/2/2016	16:00:00	53526	14.06	6.439	166.4083	4.327785	60.48243	7.068	61.77	746	0
6/2/2016	16:30:00	53527	14.08	6.005	158.0037	4.229712	63.32892	4.494	62.11	746.1	0
6/2/2016	17:00:00	53528	14.09	5.68	140.893	4.23111	65.46247	3.687	71.13	746.5	0
6/2/2016	17:30:00	53529	13.53	5.291	79.74042	4.04895	70.60758	1.032	176	746.5	0
6/2/2016	18:00:00	53530	13.38	4.622	14.09939	3.097902	81.75911	1.879	247.4	747.4	0
6/2/2016	18:30:00	53531	13.29	3.784	0.4168628	2.471248	87.24678	0.608	13.3	747.8	0
6/2/2016	19:00:00	53532	13.22	2.652	-0.05955219	2.109051	85.84549	1.319	76.52	747.8	0
6/2/2016	19:30:00	53533	13.15	1.692	-0.112519	1.964693	84.18475	1.001	88	748.2	0
6/2/2016	20:00:00	53534	13.09	1.394	-0.5957761	1.2497	97.98805	1.362	238.3	748.8	0
6/2/2016	20:30:00	53535	13.04	1.437	-0.5958223	1.17898	96.82977	1.014	13.66	749.2	0
6/2/2016	21:00:00	53536	12.99	1.012	-0.4236974	1.196148	94.01098	0.76	34.37	749.5	0
6/2/2016	21:30:00	53537	12.94	0.33	-0.07282328	0.9071051	92.15234	1.184	86.5	749.6	0
6/2/2016	22:00:00	53538	12.9	-0.244	-0.02648119	0.7941554	84.97273	2.054	81.7	748.9	0
6/2/2016	22:30:00	53539	12.85	-0.563	-0.4369802	0.6182705	92.72458	0.695	204.4	748.9	0
6/2/2016	23:00:00	53540	12.81	-1.053	-0.3112175	0.1956686	88.52171	1.329	107.6	748.6	0
6/2/2016	23:30:00	53541	12.77	-1.437	-0.1556194	0.3947753	86.65878	0.869	100.8	748.6	0
6/3/2016	0:00:00	53542	12.74	-0.99	-0.5794597	-0.02495747	99.22049	0.864	224.3	748.6	0
6/3/2016	0:30:00	53543	12.71	-0.927	-0.5959776	-0.7473792	99.87983	1.157	105.2	748.3	0
6/3/2016	1:00:00	53544	12.68	-1.033	-0.5959664	-1.121688	101.4213	0.898	90.1	748.3	0
6/3/2016	1:30:00	53545	12.67	-0.884	-0.5959684	-1.010399	101.888	1.871	76.3	747.9	0
6/3/2016	2:00:00	53546	12.65	-0.884	-0.5959882	-1.14488	102.1244	2.662	77.69	747.6	0
6/3/2016	2:30:00	53547	12.63	-1.139	-0.5960054	-1.001957	102.0741	3.011	83.8	747.3	0
